ID;IT_Resource;IT_Process
1;Application;PO1
2;Application;PO2
3;Application;PO3
4;Application;PO5
5;Application;PO8
6;Application;PO9
7;Application;PO10
8;Application;AI1
9;Application;AI2
10;Application;AI4
11;Application;AI5
12;Application;AI6
13;Application;AI7
14;Application;DS1
15;Application;DS2
16;Application;DS3
17;Application;DS4
18;Application;DS5
19;Application;DS6
20;Application;DS8
21;Application;DS9
22;Application;DS10
23;Application;DS13
24;Application;ME1
25;Application;ME2
26;Application;ME3
27;Application;ME4
28;Information;PO1
29;Information;PO2
30;Information;PO6
31;Information;PO8
32;Information;PO9
33;Information;AI5
34;Information;AI6
35;Information;AI7
36;Information;DS1
37;Information;DS2
38;Information;DS4
39;Information;DS5
40;Information;DS6
41;Information;DS9
42;Information;DS10
43;Information;DS11
44;Information;DS13
45;Information;ME1
46;Information;ME2
47;Information;ME3
48;Information;ME4
49;Infrastructure;PO1
50;Infrastructure;PO3
51;Infrastructure;PO5
52;Infrastructure;PO8
53;Infrastructure;PO9
54;Infrastructure;PO10
55;Infrastructure;AI1
56;Infrastructure;AI3
57;Infrastructure;AI4
58;Infrastructure;AI5
59;Infrastructure;AI6
60;Infrastructure;AI7
61;Infrastructure;DS1
62;Infrastructure;DS2
63;Infrastructure;DS3
64;Infrastructure;DS4
65;Infrastructure;DS5
66;Infrastructure;DS6
67;Infrastructure;DS9
68;Infrastructure;DS10
69;Infrastructure;DS12
70;Infrastructure;DS13
71;Infrastructure;ME1
72;Infrastructure;ME2
73;Infrastructure;ME3
74;Infrastructure;ME4
75;People;PO1
76;People;PO4
77;People;PO5
78;People;PO6
79;People;PO7
80;People;PO8
81;People;PO9
82;People;PO10
83;People;AI4
84;People;AI5
85;People;AI6
86;People;AI7
87;People;DS1
88;People;DS2
89;People;DS4
90;People;DS5
91;People;DS6
92;People;DS7
93;People;DS8
94;People;DS10
95;People;DS13
96;People;ME1
97;People;ME2
98;People;ME3
99;People;ME4
